==============================================================================================
There are 173 records found

Search criteria:
  Start: 2020-01-01		End: 2022-01-05
  0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Realtime Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2020-05-28,19:34:23.5,23.6400,120.7600,14.20,4.60,67.36,46.06,-150.66,316.05,69.34,-47.86,1.602132,-0.449196,-0.646122,0.436507,0.351248,0.961715,-0.646122,1.602132,-0.449196,0.351248,-0.961715,-0.436507,22,1.68281e+22,4.09,18,3.3,9.3,0.193,191.200,7,-89.084,47.744,118.351,38.881,16.791,13.956,A2
2020-05-30,13:02:30.5,24.1000,121.5600,17.20,4.80,293.34,24.60,-148.86,174.56,77.57,-68.60,0.197441,0.677258,-0.874698,0.834795,0.022953,-1.863464,-0.874698,0.197441,0.677258,0.022953,1.863460,-0.834795,22,2.19118e+22,4.16,28,5.0,0.0,0.334,210.000,7,109.736,52.669,-10.264,20.873,-112.665,29.387,B1
2020-06-07,01:49:23.5,24.1300,121.6500,11.50,4.80,225.89,37.18,82.94,54.72,53.15,95.32,-2.162203,-1.588104,3.750307,1.582015,1.002239,-0.412190,3.750307,-2.162203,-1.588104,1.002239,0.412190,-1.582010,22,3.78261e+22,4.32,23,14.9,0.0,0.267,226.100,7,140.925,8.007,-128.475,4.260,-10.707,80.917,A2
2020-06-11,01:38:26.5,24.5000,122.4000,87.00,5.20,224.94,39.70,-2.65,316.98,88.31,-129.67,-2.420730,2.637281,-0.216551,0.065421,1.930340,2.325919,-0.216551,-2.420730,2.637281,1.930340,-2.325920,-0.065421,22,3.94607e+22,4.33,82,16.5,0.0,0.340,259.900,7,-166.185,34.397,-41.617,39.649,78.962,31.545,B2
2020-06-12,00:21:35.5,24.0100,121.6900,30.20,4.70,207.41,30.48,98.16,17.97,59.86,85.23,-0.440129,-1.214013,1.654142,0.415496,0.170312,-0.858320,1.654142,-0.440129,-1.214013,0.170312,0.858320,-0.415496,22,1.77207e+22,4.10,28,28.8,0.0,0.279,236.400,7,111.453,14.735,20.365,4.129,-84.904,74.672,A3
2020-06-13,20:19:00.5,24.2700,122.4400,54.80,6.00,153.08,50.65,32.61,41.00,65.37,135.77,0.549022,-1.293564,0.744542,0.194189,0.927148,-0.165740,0.744542,0.549022,-1.293564,0.927148,0.165740,-0.194189,24,1.47964e+24,5.38,55,28.4,0.0,0.261,245.100,7,100.150,8.839,-162.177,40.646,0.208,47.990,A3
2020-06-16,23:17:00.5,24.6200,121.9800,60.80,4.70,194.05,52.09,33.71,81.75,64.03,136.88,-0.806379,-0.579324,0.685778,1.193371,0.821792,0.477616,0.685778,-0.806379,-0.579324,0.821792,-0.477616,-1.193370,22,1.74805e+22,4.10,50,6.7,-12.1,0.416,313.400,7,140.409,7.171,-123.307,41.020,42.354,48.081,B2
2020-06-26,23:27:45.5,23.0500,120.8300,6.30,4.80,100.32,35.23,-144.36,339.96,70.36,-60.15,3.520446,2.077645,-5.598091,6.049934,1.222897,6.923055,-5.598091,3.520446,2.077645,1.222897,-6.923050,-6.049930,22,1.04905e+23,4.62,4,15.9,0.0,0.397,268.800,7,-72.603,54.615,149.045,27.957,47.985,19.872,B2
2020-06-29,05:08:33.5,23.8700,121.6400,43.00,4.70,295.22,54.33,-13.62,33.26,78.98,-143.55,5.669456,-4.007594,-1.673706,-3.018871,-1.326761,3.770416,-1.673706,5.669456,-4.007594,-1.326761,-3.770420,3.018870,21,7.11283e+21,3.84,34,5.4,0.0,0.392,221.300,7,-99.564,33.202,47.784,52.143,159.559,16.084,B1
2020-06-29,12:52:48.5,24.3100,122.3500,66.00,5.20,198.57,35.51,54.97,59.30,61.60,112.28,-1.574619,-2.799151,4.373770,2.653890,2.997454,-0.509295,4.373770,-1.574619,-2.799151,2.997454,0.509295,-2.653890,22,5.56862e+22,4.43,71,6.8,0.0,0.323,287.900,7,133.280,13.844,-131.720,19.476,10.077,65.771,B1
